t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
215,1.000000E+000,1.000000E+000,2.309264E-014,1.430707E+004,1.143053E-008,1.143053E-008
216,1.000000E+000,1.000000E+000,8.881784E-016,1.430707E+004,1.121225E-008,1.121225E-008
217,1.000000E+000,1.000000E+000,3.819167E-014,1.430707E+004,1.103581E-008,1.103581E-008
218,1.000000E+000,1.000000E+000,-7.105427E-015,1.430707E+004,1.146873E-008,1.146873E-008
219,1.000000E+000,1.000000E+000,2.620126E-014,1.430707E+004,1.136141E-008,1.136141E-008
220,1.000000E+000,1.000000E+000,1.465494E-014,1.430707E+004,1.142871E-008,1.142871E-008
221,1.000000E+000,1.000000E+000,8.437695E-015,1.430707E+004,1.131048E-008,1.131048E-008
222,1.000000E+000,1.000000E+000,1.465494E-014,1.430707E+004,1.208355E-008,1.208355E-008
223,1.000000E+000,1.000000E+000,-7.993606E-015,1.430707E+004,1.148146E-008,1.148146E-008
224,1.000000E+000,1.000000E+000,1.554312E-014,1.430707E+004,1.169428E-008,1.169428E-008
225,1.000000E+000,1.000000E+000,2.220446E-014,1.430707E+004,1.160515E-008,1.160515E-008
226,1.000000E+000,1.000000E+000,-1.021405E-014,1.430707E+004,1.161243E-008,1.161243E-008
227,1.000000E+000,1.000000E+000,2.975398E-014,1.430707E+004,1.178523E-008,1.178523E-008
228,1.000000E+000,1.000000E+000,4.440892E-016,1.430707E+004,1.185072E-008,1.185072E-008
229,1.000000E+000,1.000000E+000,1.998401E-014,1.430707E+004,1.191802E-008,1.191802E-008
230,1.000000E+000,1.000000E+000,1.421085E-014,1.430707E+004,1.211447E-008,1.211447E-008
231,1.000000E+000,1.000000E+000,1.554312E-014,1.430707E+004,1.202170E-008,1.202170E-008
232,1.000000E+000,1.000000E+000,6.217249E-015,1.430707E+004,1.200169E-008,1.200169E-008
233,1.000000E+000,1.000000E+000,2.176037E-014,1.430707E+004,1.215449E-008,1.215449E-008
234,1.000000E+000,1.000000E+000,9.769963E-015,1.430707E+004,1.222543E-008,1.222543E-008
235,1.000000E+000,1.000000E+000,4.174439E-014,1.430707E+004,1.205444E-008,1.205444E-008
236,1.000000E+000,1.000000E+000,-2.886580E-014,1.430707E+004,1.225635E-008,1.225635E-008
237,1.000000E+000,1.000000E+000,3.286260E-014,1.430707E+004,1.232365E-008,1.232365E-008
238,1.000000E+000,1.000000E+000,4.884981E-015,1.430707E+004,1.234002E-008,1.234002E-008
239,1.000000E+000,1.000000E+000,1.199041E-014,1.430707E+004,1.225089E-008,1.225089E-008
240,1.000000E+000,1.000000E+000,8.881784E-015,1.430707E+004,1.253284E-008,1.253284E-008
241,1.000000E+000,1.000000E+000,1.598721E-014,1.430707E+004,1.260742E-008,1.260742E-008
242,1.000000E+000,1.000000E+000,-3.996803E-015,1.430707E+004,1.273293E-008,1.273293E-008
