timestep,timestamp_utc,U,S,T,F,teff_undefined,gpu_temp_c,gpu_power_w,gpu_clock_mhz,is_f_spike,is_thermal_peak
74,2026-02-21T20:02:49.5495388+00:00,0.66636608329199043,0.91002162190294056,1,-0.24365553861095013,0,40,2.81,210,1,0
75,2026-02-21T20:02:50.7250476+00:00,0.67177368132877302,0.91007872293573933,1,-0.23830504160696631,0,40,2.82,210,1,0
76,2026-02-21T20:02:51.5618085+00:00,0.67651072951751223,0.91008302622618964,1,-0.23357229670867741,0,40,2.82,210,1,0
77,2026-02-21T20:02:52.7318530+00:00,0.68049831827790985,0.9101662198054693,1,-0.22966790152755945,0,40,2.88,210,1,0
78,2026-02-21T20:02:53.5528793+00:00,0.68426185733636957,0.91032874002620812,1,-0.22606688268983854,0,40,2.88,210,1,0
79,2026-02-21T20:02:54.7158835+00:00,0.68821415471176839,0.91065406708167929,1,-0.2224399123699109,0,40,2.72,210,1,0
80,2026-02-21T20:02:55.5436580+00:00,0.69203320932635093,0.9113532840705787,1,-0.21932007474422777,0,40,2.72,210,1,0
81,2026-02-21T20:02:56.7017657+00:00,0.69492596937976447,0.91249013234279752,1,-0.21756416296303305,0,40,2.68,210,1,0
82,2026-02-21T20:02:57.5378479+00:00,0.69666175297222543,0.91374714777325217,1,-0.21708539480102673,0,40,2.68,210,1,0
83,2026-02-21T20:02:58.7109003+00:00,0.69831943080587211,0.91472079011465868,1,-0.21640135930878657,0,40,2.73,210,1,0
84,2026-02-21T20:02:59.5583939+00:00,0.70174164091632207,0.91546387363568538,1,-0.2137222327193633,0,40,2.73,210,1,0
85,2026-02-21T20:03:00.7190915+00:00,0.70790297797689472,0.91633802401506848,1,-0.20843504603817375,0,40,2.84,210,1,0
86,2026-02-21T20:03:01.5518477+00:00,0.71576197480560033,0.91741145316994199,1,-0.20164947836434166,0,40,2.84,210,1,0
87,2026-02-21T20:03:02.7312409+00:00,0.72296569017104673,0.91832767709464502,1,-0.1953619869235983,0,40,3.06,210,1,0
88,2026-02-21T20:03:03.5561979+00:00,0.72783401260734004,0.91880508953164497,1,-0.19097107692430493,0,40,3.06,210,1,0
89,2026-02-21T20:03:04.7206682+00:00,0.73052996598990494,0.91899866151321674,1,-0.1884686955233118,0,40,2.76,210,1,0
90,2026-02-21T20:03:05.5361521+00:00,0.73221830400544896,0.91927875726504715,1,-0.18706045325959819,0,40,2.76,210,1,0
91,2026-02-21T20:03:06.7032254+00:00,0.7334878543297112,0.91973905645008858,1,-0.18625120212037738,0,40,2.76,210,1,0
92,2026-02-21T20:03:07.5523076+00:00,0.73418309692541051,0.92020681425473083,1,-0.18602371732932033,0,40,2.76,210,1,0
93,2026-02-21T20:03:08.7164580+00:00,0.73462983772036972,0.92051490171070482,1,-0.18588506399033511,0,40,2.84,210,1,0
94,2026-02-21T20:03:09.5352455+00:00,0.73604132673663158,0.92063573672049048,1,-0.1845944099838589,0,40,2.84,210,1,0
95,2026-02-21T20:03:10.7226564+00:00,0.73911480181981248,0.920714005721602,1,-0.18159920390178952,0,40,2.91,210,1,0
96,2026-02-21T20:03:11.5459265+00:00,0.74285764655225117,0.92088933248731375,1,-0.17803168593506258,0,40,2.91,210,1,0
97,2026-02-21T20:03:12.7159326+00:00,0.74563257094634794,0.92121415884516344,1,-0.17558158789881551,0,40,2.7,210,1,0
98,2026-02-21T20:03:13.5368921+00:00,0.74702726959384846,0.92162451249843258,1,-0.17459724290458412,0,40,2.7,210,1,0
99,2026-02-21T20:03:14.7123569+00:00,0.74792793967805016,0.92198429492003064,1,-0.17405635524198049,0,40,2.68,210,1,0
